"Ticker","Date/Time","Open","Close","High","Low"
"AMZN","2022-07-14","110.125","110.63","111.1704","107.58"
"AMZN","2022-07-13","107.03","110.4","111.78","106.01"
"AMZN","2022-07-12","112.16","109.22","113.23","108.34"
"TSLA","2022-07-14","704.70001","714.92999","715.9599","688.06"
"TSLA","2022-07-13","676.5","711.12","726.17999","675.09998"
"TSLA","2022-07-12","710.53998","699.21002","719.32001","685.10999"
"F","2022-07-14","11.22","11.385","11.4","11.14"
"F","2022-07-13","11.31","11.51","11.58","11.17"
"F","2022-07-12","11.29","11.56","11.72","11.27"
"GOOG","2022-07-14","2216.52002","2228.84009","2239.75","2187.11011"
"GOOG","2022-07-13","2252.78003","2243.73999","2303.13989","2236.45996"
"GOOG","2022-07-12","2336.77002","2296.98999","2356.98999","2292.30005"
